"UPDATED","ENTRY_DATE","EVENT_LCL_DATE","EVENT_LCL_TIME","LOC_CITY_NAME","LOC_STATE_NAME","LOC_CNTRY_NAME","RMK_TEXT","EVENT_TYPE_DESC","FSDO_DESC","REGIST_NBR","FLT_NBR","ACFT_OPRTR","ACFT_MAKE_NAME","ACFT_MODEL_NAME","ACFT_MISSING_FLAG","ACFT_DMG_DESC","FLT_ACTIVITY","FLT_PHASE","FAR_PART","MAX_INJ_LVL","FATAL_FLAG","FLT_CRW_INJ_NONE","FLT_CRW_INJ_MINOR","FLT_CRW_INJ_SERIOUS","FLT_CRW_INJ_FATAL","FLT_CRW_INJ_UNK","CBN_CRW_INJ_NONE","CBN_CRW_INJ_MINOR","CBN_CRW_INJ_SERIOUS","CBN_CRW_INJ_FATAL","CBN_CRW_INJ_UNK","PAX_INJ_NONE","PAX_INJ_MINOR","PAX_INJ_SERIOUS","PAX_INJ_FATAL","PAX_INJ_UNK","GRND_INJ_NONE","GRND_INJ_MINOR","GRND_INJ_SERIOUS","GRND_INJ_FATAL","GRND_INJ_UNK","Unk inj none","Unk inj minor","Unk inj serious","Unk inj fatal","Unk inj unk"
"No","19-MAR-26","19-MAR-26","01:55:00Z","ST HELENS","OREGON","UNITED STATES","AIRCRAFT ATTEMPTING TO DEPART FROM AN ISLAND ALONG THE COLUMBIA RIVER AND BECAME INVERTED IN THE WATER, ST HELENS, OR.","INCIDENT","PORTLAND FSDO","N7632H","","","PIPER","PA12","No","UNKNOWN","PERSONAL","TAKEOFF (TOF)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","10-MAR-26","10-MAR-26","01:40:00Z","DENTON","TEXAS","UNITED STATES","AIRCRAFT ATTEMPTED TO TAKEOFF AND ROLLED PAST THE DEPARTURE END OF THE RUNWAY INTO THE GRASS, DENTON, TX.","INCIDENT","NORTH TEXAS FSDO","N89727","","","CESSNA","152","No","UNKNOWN","INSTRUCTION","TAKEOFF (TOF)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","10-MAR-26","09-MAR-26","23:52:00Z","LITTLEFIELD","ARIZONA","UNITED STATES","AIRCRAFT EXPERIENCED A DOWNDRAFT AND IMPACTED TERRAIN, LITTLEFIELD, AZ.","ACCIDENT","LAS VEGAS FSDO","N104DG","","","KITFOX","KITFOX","No","SUBSTANTIAL","PERSONAL","EN ROUTE (ENR)","91","SERIOUS","No","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","10-MAR-26","10-MAR-26","01:09:00Z","CHANTILLY","VIRGINIA","UNITED STATES","AIRCRAFT STRUCK AN OBJECT ON TAKEOFF FROM DCA AND DIVERTED TO IAD AND POST FLIGHT INSPECTION REVEALED A HOLE IN THE RADOME, CHANTILLY, VA.","INCIDENT","WASHINGTON FSDO","N517AE","PSA5561","AMERICAN AIRLINES","BOMBARDIER","CL-600-2C10","No","UNKNOWN","COMMERCIAL","TAKEOFF (TOF)","121","NONE","No","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","10-MAR-26","09-MAR-26","22:32:00Z","PENDLETON","OREGON","UNITED STATES","AIRCRAFT CRASHED UNDER UNKNOWN CIRCUMSTANCES NEAR THE AIRPORT, PENDLETON, OR.","INCIDENT","PORTLAND FSDO","N4891F","","","FIRESTORM LABS","TEMPEST BETA 2","No","UNKNOWN","UNKNOWN","UNKNOWN (UNK)","","NONE","No","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","16-MAR-26","13-MAR-26","00:03:00Z","SANTA YNEZ","CALIFORNIA","UNITED STATES","AIRCRAFT CRASHED UNDER UNKNOWN CIRCUMSTANCES","ACCIDENT","VAN NUYS FSDO","N358FT","","","EXPERIMENTAL","ROTORCRAFT","No","SUBSTANTIAL","PERSONAL","UNKNOWN (UNK)","91","MINOR","No","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","16-MAR-26","12-MAR-26","01:23:00Z","ST LOUIS","MISSOURI","UNITED STATES","AIRCRAFT EXPERIENCED ISSUES WITH THE #2 ENGINE DUE TO A BIRD STRIKE ON LANDING, AND REPORTED DAMAGE TO THE #2 ENGINE","INCIDENT","ST. LOUIS FSDO","N996AT","DAL1541","DELTA AIR LINES","BOEING","717","No","UNKNOWN","COMMERCIAL","LANDING (LDG)","121","NONE","No","2","0","0","0","0","2","0","0","0","0","108","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","16-MAR-26","15-MAR-26","02:15:00Z","CHICAGO/AURORA","ILLINOIS","UNITED STATES","AIRCRAFT VEERED LEFT AND SLID OFF THE RUNWAY AFTER LANDING","INCIDENT","GREATER CHICAGO FSDO","N30TE","","","DASSAULT","FALCON 10","No","UNKNOWN","PERSONAL","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","16-MAR-26","13-MAR-26","18:00:00Z","DENTON","TEXAS","UNITED STATES","AIRCRAFT LANDED FAST AND WENT OFF THE END OF THE RUNWAY","INCIDENT","NORTH TEXAS FSDO","N31AJ","","","CESSNA","182","No","NONE","PERSONAL","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","16-MAR-26","14-MAR-26","16:50:00Z","JEFFERSONVILLE","INDIANA","UNITED STATES","AIRCRAFT STRUCK A DEER RESULTING IN DAMAGE TO THE NOSE AND ABORTED THE TAKEOFF","INCIDENT","INDIANAPOLIS FSDO","N70KB","","","CESSNA","550","No","MINOR","PERSONAL","TAKEOFF (TOF)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","16-MAR-26","13-MAR-26","00:46:00Z","ONTARIO","OREGON","UNITED STATES","AIRCRAFT STRUCK A BIRD ON SHORT FINAL FOR RUNWAY 33","INCIDENT","BOISE FSDO","N675MA","","","PIPER","PA46","No","MINOR","PERSONAL","APPROACH (APR)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","16-MAR-26","13-MAR-26","21:55:00Z","SEDALIA","MISSOURI","UNITED STATES","AIRCRAFT EXPERIENCED LOSS OF CONTROL ON DEPARTURE, EXITED THE SIDE OF THE RUNWAY, AND IMPACTED A BERM","INCIDENT","KANSAS CITY FSDO","N2393N","","","AIR TRACTOR","AT400","No","UNKNOWN","PERSONAL","TAKEOFF (TOF)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","16-MAR-26","13-MAR-26","19:45:00Z","WILLCOX","ARIZONA","UNITED STATES","AIRCRAFT REPORTED A FUEL LEAK AND LANDED ON A GRAVEL ROAD","INCIDENT","SCOTTSDALE FSDO","N3399F","","","CESSNA","182","No","NONE","PERSONAL","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Yes","17-MAR-26","17-MAR-26","05:37:00Z","ST LOUIS","MISSOURI","UNITED STATES","AIRCRAFT CRASHED UNDER UNKNOWN CIRCUSMTANCES AND POST CRASH FIRE, ST LOUIS, MO.","ACCIDENT","ST LOUIS FSDO","N444CA","CTL18","CENTRAL AIR SOUTHWEST","AERO COMMANDER","500-B","No","SUBSTANTIAL","CARGO","TAKEOFF (TOF)","135","FATAL","Yes","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Yes","09-MAR-26","06-MAR-26","15:24:00Z","DENVER","COLORADO","UNITED STATES","AIRCRAFT WAS TAXIING OUT OF THE DEICING PAD WHEN IT STRUCK TWO DEICING TRUCKS AND ONE WAS KNOCKED OVER, DENVER, CO.","ACCIDENT","DENVER FSDO","N27213","UAL605","UNITED AIRLINES","BOEING","737","No","SUBSTANTIAL","COMMERCIAL","TAXI (TXI)","121","UNKNOWN","No","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"Yes","09-MAR-26","06-MAR-26","15:05:00Z","ALBUQUERQUE","NEW MEXICO","UNITED STATES","AIRCRAFT EXPERIENCED ENGINE ISSUES AND CRASHED ON A GOLF COURSE, ALBUQUERQUE, NM.","ACCIDENT","ALBUQUERQUE FSDO","N2516S","","","COLUMBIA AIRCRAFT","LC41-550FG","No","SUBSTANTIAL","PERSONAL","APPROACH (APR)","91","FATAL","Yes","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
